Pol	|V|	|F|	|S|	|B|	|A|	|X|	|E|
770	11	61	34	0	0	34	27
771	10	41	3	4	0	7	34
772	11	57	17	0	0	17	40
773	11	53	3	0	0	3	50
774	11	57	6	0	0	6	51
775	11	53	6	4	0	10	43
776	12	69	6	0	0	6	63
777	11	57	4	0	0	4	53
778	12	78	36	0	0	36	42
779	11	57	6	0	0	6	51
780	11	53	4	0	0	4	49
781	12	73	28	0	0	28	45
782	11	53	6	4	0	10	43
783	12	73	34	0	0	34	39
784	11	53	6	0	0	6	47
785	11	61	16	0	0	16	45
786	11	61	20	0	0	20	41
787	11	61	17	2	0	19	42
788	11	61	20	2	0	22	39
789	10	41	4	0	0	4	37
790	11	58	58	0	0	58	0
791	10	41	6	0	0	6	35
792	10	41	6	1	0	7	34
793	10	41	3	0	0	3	38
794	11	58	15	0	0	15	43
795	11	56	6	4	0	10	46
796	11	56	12	0	0	12	44
797	12	80	80	0	0	80	0
798	11	60	12	0	0	12	48
799	10	40	3	2	0	5	35
800	11	53	6	2	0	8	45
801	10	40	6	4	0	10	30
802	11	66	18	0	0	18	48
803	12	96	96	0	0	96	0
804	11	67	16	0	0	16	51
805	10	44	6	1	0	7	37
806	11	56	28	0	0	28	28
807	11	56	17	0	0	17	39
808	12	76	36	0	0	36	40
809	11	56	16	4	0	20	36
810	10	40	4	8	0	12	28
811	10	44	4	0	0	4	40
812	11	56	4	0	0	4	52
813	11	61	6	0	0	6	55
814	11	60	10	2	0	12	48
815	12	72	16	0	0	16	56
816	11	56	16	0	0	16	40
817	11	56	4	4	0	8	48
818	11	60	34	0	0	34	26
819	10	44	4	0	0	4	40
820	10	44	12	0	0	12	32
821	10	40	6	4	0	10	30
822	11	53	6	2	0	8	45
823	11	57	6	1	0	7	50
824	10	40	3	4	0	7	33
825	10	41	6	1	0	7	34
826	11	52	6	2	0	8	44
827	10	40	6	2	0	8	32
828	10	40	6	4	0	10	30
829	10	40	12	0	0	12	28
830	10	44	17	2	0	19	25
831	10	44	16	4	0	20	24
832	9	28	6	2	0	8	20
833	11	40	4	4	0	8	32
834	12	48	4	0	0	4	44
835	11	40	4	4	0	8	32
836	11	44	3	1	0	4	40
837	11	40	8	0	0	8	32
838	10	32	4	4	0	8	24
839	11	44	3	1	0	4	40
840	10	32	4	4	0	8	24
841	11	40	4	0	0	4	36
842	12	55	6	1	0	7	48
843	13	66	6	0	0	6	60
844	11	47	6	1	0	7	40
845	11	40	8	4	0	12	28
846	12	48	8	0	0	8	40
847	11	40	4	0	0	4	36
848	11	47	12	1	0	13	34
849	11	40	4	4	0	8	32
850	12	48	4	0	0	4	44
851	12	48	8	0	0	8	40
852	11	40	8	0	0	8	32
853	10	32	8	4	0	12	20
854	10	32	4	4	0	8	24
855	12	60	4	0	0	4	56
856	11	52	4	0	0	4	48
857	11	47	6	1	0	7	40
858	12	55	12	0	0	12	43
859	11	47	12	0	0	12	35
860	11	44	6	1	0	7	37
861	10	36	6	1	0	7	29
862	11	44	6	1	0	7	37
863	11	48	12	1	0	13	35
864	11	52	8	0	0	8	44
865	11	44	3	1	0	4	40
866	11	44	6	0	0	6	38
867	10	36	3	1	0	4	32
868	10	32	8	4	0	12	20
869	10	32	4	4	0	8	24
870	11	50	12	0	0	12	38
871	10	39	12	1	0	13	26
872	11	47	12	0	0	12	35
873	10	36	6	1	0	7	29
874	11	40	8	0	0	8	32
875	11	40	8	0	0	8	32
876	10	32	8	0	0	8	24
877	10	32	4	4	0	8	24
878	11	40	8	0	0	8	32
879	10	32	8	4	0	12	20
880	10	32	4	0	0	4	28
881	9	24	4	4	0	8	16
882	11	49	3	3	0	6	43
883	12	61	6	0	0	6	55
884	11	52	6	3	0	9	43
885	12	64	6	0	0	6	58
886	11	48	6	1	0	7	41
887	11	49	6	3	0	9	40
888	12	61	12	0	0	12	49
889	12	61	6	0	0	6	55
890	11	49	3	3	0	6	43
891	11	52	12	3	0	15	37
892	11	48	12	1	0	13	35
893	13	81	8	0	0	8	73
894	12	70	8	0	0	8	62
895	11	56	4	0	0	4	52
896	12	80	80	0	0	80	0
897	11	56	8	0	0	8	48
898	11	49	4	0	0	4	45
899	12	60	8	0	0	8	52
900	11	49	8	0	0	8	41
901	11	52	8	0	0	8	44
902	10	38	8	0	0	8	30
903	10	37	6	6	0	12	25
904	11	57	12	0	0	12	45
905	11	57	12	2	0	14	43
906	10	41	6	4	0	10	31
907	11	61	34	0	0	34	27
908	10	36	6	1	0	7	29
909	10	33	3	2	0	5	28
910	11	49	6	3	0	9	40
911	11	52	12	0	0	12	40
912	10	37	3	6	0	9	28
913	11	46	6	0	0	6	40
914	11	49	9	0	0	9	40
915	10	40	8	1	0	9	31
916	11	49	12	0	0	12	37
917	10	41	12	0	0	12	29
918	10	37	6	6	0	12	25
919	11	44	6	1	0	7	37
920	12	55	30	0	0	30	25
921	11	44	12	1	0	13	31
922	10	33	6	2	0	8	25
923	10	36	6	1	0	7	29
924	10	36	12	1	0	13	23
925	9	25	6	2	0	8	17
926	9	25	3	9	0	12	13
927	10	34	12	0	0	12	22
928	10	37	8	3	0	11	26
929	10	40	24	0	0	24	16
930	9	28	4	6	0	10	18
931	9	28	4	12	0	16	12
932	10	44	28	4	0	32	12
933	10	40	40	0	0	40	0
934	9	28	8	6	0	14	14
935	9	24	4	8	0	12	12
936	10	32	12	0	0	12	20
937	11	49	24	0	0	24	25
938	10	37	9	3	0	12	25
939	10	40	16	2	0	18	22
940	10	36	9	2	0	11	25
941	9	28	9	1	0	10	18
942	10	32	4	4	0	8	24
943	11	50	30	1	0	31	19
944	11	40	20	0	0	20	20
945	10	32	8	4	0	12	20
946	9	24	4	8	0	12	12
947	10	32	32	0	0	32	0
948	9	24	8	8	0	16	8
949	9	25	12	3	0	15	10
950	9	24	12	4	0	16	8
951	8	16	4	12	0	16	0
952	11	51	18	0	0	18	33
953	10	39	6	12	0	18	21
954	10	40	8	2	0	10	30
955	11	45	18	9	0	27	18
956	12	54	18	0	0	18	36
957	11	45	9	9	0	18	27
958	11	48	12	6	0	18	30
959	10	36	18	18	0	36	0
960	10	36	9	9	0	18	18
961	11	45	9	0	0	9	36
962	11	48	12	6	0	18	30
963	11	48	6	0	0	6	42
964	11	48	8	2	0	10	38
965	10	36	12	6	0	18	18
966	11	48	12	6	0	18	30
967	11	48	12	6	0	18	30
968	11	48	12	0	0	12	36
969	10	39	12	3	0	15	24
